Freq	Amp
38.796708	48871.826057
38.846704	54994.533098
38.896700	66376.842685
38.946696	89450.596012
38.996692	133206.391173
39.046687	240481.739468
39.096683	877439.428784
39.146679	764781.909040
39.196675	130942.448968
39.246670	114996.360931
39.296666	107136.195722
39.346662	121062.923068
39.396658	131838.337909
39.446653	161032.422543
39.496649	154920.464442
39.546645	131761.748581
39.596641	95399.545711
39.646636	76789.007134
39.696632	65775.773147
39.746628	56872.679948
39.796624	37593.912364
39.846619	23563.098334
39.896615	19284.518072
39.946611	51405.165666
39.996607	561068.195440
40.046602	113580.175510
40.096598	59938.051807
40.146594	44279.150572
40.196590	24083.016613
40.246585	20781.261073
40.296581	21570.297678
40.346577	5790.911857
40.396573	10338.328252
40.446569	7972.383296
40.496564	7354.034437
40.546560	11364.512742
40.596556	12930.221508
40.646552	8496.927438
40.696547	8571.731301
40.746543	7948.674361
40.796539	7112.706616
40.846535	7880.457373
40.896530	8029.020105
40.946526	8289.869113
40.996522	8870.474011
41.046518	7297.798075
41.096513	6552.642808
41.146509	5897.557478
41.196505	5181.944482
41.246501	5023.312938
41.296496	5008.526916
41.346492	4868.073804
41.396488	5192.812820
41.446484	5894.844794
41.496479	6777.400341
41.546475	7344.111494
41.596471	8003.966228
41.646467	8737.418291
41.696462	9093.667771
41.746458	9205.173491
41.796454	9384.851036
41.846450	9387.279014
41.896445	9131.574500
41.946441	8788.529570
41.996437	8391.355128
42.046433	8062.486932
42.096429	7718.063505
42.146424	7359.492133
42.196420	6719.179174
42.246416	5513.990382
42.296412	4713.939596
42.346407	4580.427394
42.396403	4664.504500
42.446399	4629.971428
42.496395	4075.613899
42.546390	3134.089362
42.596386	2301.713839
42.646382	2257.921135
42.696378	2922.411021
42.746373	3769.957209
42.796369	4603.489830
42.846365	5045.755999
42.896361	5062.707895
42.946356	4752.663959
42.996352	4244.805582
43.046348	3465.204744
43.096344	2723.469776
43.146339	2184.094170
43.196335	2018.531363
43.246331	2179.968781
43.296327	2188.285313
43.346322	2123.561098
43.396318	2274.425911
43.446314	2360.295302
43.496310	2506.974381
43.546306	2923.119977
43.596301	3493.120407
43.646297	3850.991422
43.696293	4168.974802
43.746289	4500.056913
