Freq	Amp
13.139474	0.407178
13.159474	0.411904
13.179473	0.410853
13.199472	0.414600
13.219471	0.405800
13.239470	0.397668
13.259470	0.396842
13.279469	0.404408
13.299468	0.407391
13.319467	0.409655
13.339466	0.421770
13.359466	0.409642
13.379465	0.416660
13.399464	0.412656
13.419463	0.414999
13.439462	0.422272
13.459462	0.421799
13.479461	0.415151
13.499460	0.413708
13.519459	0.416392
13.539458	0.411783
13.559458	0.417118
13.579457	0.419972
13.599456	0.428266
13.619455	0.407827
13.639454	0.423034
13.659454	0.416032
13.679453	0.427675
13.699452	0.418890
13.719451	0.430328
13.739450	0.411119
13.759450	0.425152
13.779449	0.433439
13.799448	0.414474
13.819447	0.418613
13.839446	0.431437
13.859446	0.429802
13.879445	0.427973
13.899444	0.421275
13.919443	0.425292
13.939442	0.420304
13.959442	0.419463
13.979441	0.431178
13.999440	0.424692
14.019439	0.430232
14.039438	0.436091
14.059438	0.433815
14.079437	0.431342
14.099436	0.430270
14.119435	0.424581
14.139434	0.426850
14.159434	0.432290
14.179433	0.439718
14.199432	0.435156
14.219431	0.439899
14.239430	0.439427
14.259430	0.450571
14.279429	0.444067
14.299428	0.434406
14.319427	0.437811
14.339426	0.436581
14.359426	0.439133
14.379425	0.444528
14.399424	0.437582
14.419423	0.447749
14.439422	0.434115
14.459422	0.447401
14.479421	0.441592
14.499420	0.444006
14.519419	0.434568
14.539418	0.436094
14.559418	0.442408
14.579417	0.428802
14.599416	0.444998
14.619415	0.443376
14.639414	0.453858
14.659414	0.448464
14.679413	0.446270
14.699412	0.452019
14.719411	0.452140
14.739410	0.448006
14.759410	0.449019
14.779409	0.453958
14.799408	0.446096
14.819407	0.444150
14.839406	0.447265
14.859406	0.453051
14.879405	0.440893
14.899404	0.444942
14.919403	0.463419
14.939402	0.459203
14.959402	0.450486
14.979401	0.463437
14.999400	0.465216
15.019399	0.467420
15.039398	0.453498
15.059398	0.456693
15.079397	0.452706
15.099396	0.464873
15.119395	0.472775
15.139394	0.454456
15.159394	0.459420
15.179393	0.463582
15.199392	0.474875
15.219391	0.460435
15.239390	0.466868
